Date,Prec_mm,Validation,"Validation: V = validato, P= pre-validato , @= dato mancante"
01/10/2014,2.6,P,
02/10/2014,0,P,
03/10/2014,0,P,
04/10/2014,0,P,
05/10/2014,0,P,
06/10/2014,0,P,
07/10/2014,0,P,
08/10/2014,0,P,
09/10/2014,0,P,
10/10/2014,0,P,
11/10/2014,11,P,
12/10/2014,0.6,P,
13/10/2014,4,P,
14/10/2014,15.8,P,
15/10/2014,11.2,P,
16/10/2014,0,P,
17/10/2014,1,P,
18/10/2014,0.4,P,
19/10/2014,0.2,P,
20/10/2014,0.2,P,
21/10/2014,1.8,P,
22/10/2014,0,P,
23/10/2014,0,P,
24/10/2014,0,P,
25/10/2014,0,P,
26/10/2014,0,P,
27/10/2014,0,P,
28/10/2014,0,P,
29/10/2014,0.2,P,
30/10/2014,0,P,
31/10/2014,0,P,
01/11/2014,0,P,
02/11/2014,0,P,
03/11/2014,0,P,
04/11/2014,0,P,
05/11/2014,28.8,P,
06/11/2014,21,P,
07/11/2014,0.6,P,
08/11/2014,0.2,P,
09/11/2014,0.2,P,
10/11/2014,17.2,P,
11/11/2014,0.2,P,
12/11/2014,2.8,P,
13/11/2014,3.4,P,
14/11/2014,0,P,
15/11/2014,15.4,P,
16/11/2014,7,P,
17/11/2014,39.4,P,
18/11/2014,40.6,P,
19/11/2014,8.2,P,
20/11/2014,0.2,P,
21/11/2014,0.2,P,
22/11/2014,2.2,P,
23/11/2014,0,P,
24/11/2014,0.2,P,
25/11/2014,5.4,P,
26/11/2014,17,P,
27/11/2014,3,P,
28/11/2014,0.2,P,
29/11/2014,0.6,P,
30/11/2014,1.8,P,
01/12/2014,1.4,P,
02/12/2014,0,P,
03/12/2014,10.4,P,
04/12/2014,8.2,P,
05/12/2014,1.2,P,
06/12/2014,1,P,
07/12/2014,0.8,P,
08/12/2014,0,P,
09/12/2014,0,P,
10/12/2014,0,P,
11/12/2014,0,P,
12/12/2014,0.2,P,
13/12/2014,1.8,P,
14/12/2014,0,P,
15/12/2014,0.6,P,
16/12/2014,5,P,
17/12/2014,0,P,
18/12/2014,0,P,
19/12/2014,0,P,
20/12/2014,0,P,
21/12/2014,0,P,
22/12/2014,0,P,
23/12/2014,0,P,
24/12/2014,0,P,
25/12/2014,0,P,
26/12/2014,0,P,
27/12/2014,24.2,P,
28/12/2014,1,P,
29/12/2014,0,P,
30/12/2014,0,P,
31/12/2014,0,P,
01/01/2015,0,P,
02/01/2015,0,P,
03/01/2015,0,P,
04/01/2015,0,P,
05/01/2015,0,P,
06/01/2015,0,P,
07/01/2015,0,P,
08/01/2015,0,P,
09/01/2015,0,P,
10/01/2015,0,P,
11/01/2015,0,P,
12/01/2015,0,P,
13/01/2015,0,P,
14/01/2015,0.2,P,
15/01/2015,0,P,
16/01/2015,1.8,P,
17/01/2015,5,P,
18/01/2015,0,P,
19/01/2015,0,P,
20/01/2015,0,P,
21/01/2015,3.8,P,
22/01/2015,2.6,P,
23/01/2015,0.4,P,
24/01/2015,0,P,
25/01/2015,0.8,P,
26/01/2015,0,P,
27/01/2015,0,P,
28/01/2015,0,P,
29/01/2015,16.2,P,
30/01/2015,30.4,P,
31/01/2015,0,P,
01/02/2015,0.8,P,
02/02/2015,0.4,P,
03/02/2015,2.2,P,
04/02/2015,1,P,
05/02/2015,20,P,
06/02/2015,6.6,P,
07/02/2015,0,P,
08/02/2015,0.2,P,
09/02/2015,0,P,
10/02/2015,0,P,
11/02/2015,0,P,
12/02/2015,0,P,
13/02/2015,0,P,
14/02/2015,1,P,
15/02/2015,2.4,P,
16/02/2015,0,P,
17/02/2015,0,P,
18/02/2015,0,P,
19/02/2015,0,P,
20/02/2015,0,P,
21/02/2015,7.8,P,
22/02/2015,7.2,P,
23/02/2015,0,P,
24/02/2015,1.4,P,
25/02/2015,1.2,P,
26/02/2015,0,P,
27/02/2015,0,P,
28/02/2015,0,P,
01/03/2015,0,P,
02/03/2015,3.2,P,
03/03/2015,0,P,
04/03/2015,9.4,P,
05/03/2015,6.6,P,
06/03/2015,0,P,
07/03/2015,0,P,
08/03/2015,0,P,
09/03/2015,0,P,
10/03/2015,0,P,
11/03/2015,0,P,
12/03/2015,0,P,
13/03/2015,0,P,
14/03/2015,0,P,
15/03/2015,1.2,P,
16/03/2015,14.2,P,
17/03/2015,12.2,P,
18/03/2015,0,P,
19/03/2015,0,P,
20/03/2015,0,P,
21/03/2015,0,P,
22/03/2015,0,P,
23/03/2015,0,P,
24/03/2015,0.6,P,
25/03/2015,17.6,P,
26/03/2015,18.8,P,
27/03/2015,3.8,P,
28/03/2015,0,P,
29/03/2015,0,P,
30/03/2015,0,P,
31/03/2015,0,P,
01/04/2015,0,P,
02/04/2015,0,P,
03/04/2015,0,P,
04/04/2015,22,P,
05/04/2015,1.8,P,
06/04/2015,0,P,
07/04/2015,0,P,
08/04/2015,0,P,
09/04/2015,0,P,
10/04/2015,0,P,
11/04/2015,0,P,
12/04/2015,0,P,
13/04/2015,0,P,
14/04/2015,0,P,
15/04/2015,0,P,
16/04/2015,0,P,
17/04/2015,0,P,
18/04/2015,0,P,
19/04/2015,0,P,
20/04/2015,0,P,
21/04/2015,0,P,
22/04/2015,0,P,
23/04/2015,1.2,P,
24/04/2015,0,P,
25/04/2015,0,P,
26/04/2015,6.4,P,
27/04/2015,13,P,
28/04/2015,7.2,P,
29/04/2015,9.8,P,
30/04/2015,0.2,P,
01/05/2015,0,P,
02/05/2015,0.4,P,
03/05/2015,0,P,
04/05/2015,0,P,
05/05/2015,0,P,
06/05/2015,0,P,
07/05/2015,0,P,
08/05/2015,0,P,
09/05/2015,0,P,
10/05/2015,0,P,
11/05/2015,0,P,
12/05/2015,0,P,
13/05/2015,0,P,
14/05/2015,0,P,
15/05/2015,2.2,P,
16/05/2015,2.4,P,
17/05/2015,0,P,
18/05/2015,0,P,
19/05/2015,0,P,
20/05/2015,13.6,P,
21/05/2015,17.2,P,
22/05/2015,4,P,
23/05/2015,8.4,P,
24/05/2015,0.8,P,
25/05/2015,0,P,
26/05/2015,2,P,
27/05/2015,1.2,P,
28/05/2015,0,P,
29/05/2015,0,P,
30/05/2015,0,P,
31/05/2015,0,P,
01/06/2015,0,P,
02/06/2015,0,P,
03/06/2015,0,P,
04/06/2015,0,P,
05/06/2015,0,P,
06/06/2015,0,P,
07/06/2015,0,P,
08/06/2015,0,P,
09/06/2015,0.2,P,
10/06/2015,0,P,
11/06/2015,0,P,
12/06/2015,0,P,
13/06/2015,0,P,
14/06/2015,1.8,P,
15/06/2015,3.6,P,
16/06/2015,0.4,P,
17/06/2015,7,P,
18/06/2015,0,P,
19/06/2015,0,P,
20/06/2015,0.4,P,
21/06/2015,0,P,
22/06/2015,0,P,
23/06/2015,0,P,
24/06/2015,15.2,P,
25/06/2015,0,P,
26/06/2015,0,P,
27/06/2015,4.6,P,
28/06/2015,0,P,
29/06/2015,0,P,
30/06/2015,0,P,
01/07/2015,0,P,
02/07/2015,0,P,
03/07/2015,0,P,
04/07/2015,0,P,
05/07/2015,0,P,
06/07/2015,0,P,
07/07/2015,0,P,
08/07/2015,0,P,
09/07/2015,0,P,
10/07/2015,0,P,
11/07/2015,0,P,
12/07/2015,0,P,
13/07/2015,0,P,
14/07/2015,0,P,
15/07/2015,0,P,
16/07/2015,0,P,
17/07/2015,0,P,
18/07/2015,0,P,
19/07/2015,0,P,
20/07/2015,0,P,
21/07/2015,0,P,
22/07/2015,3,P,
23/07/2015,0,P,
24/07/2015,13,P,
25/07/2015,3.2,P,
26/07/2015,0,P,
27/07/2015,0,P,
28/07/2015,0,P,
29/07/2015,0,P,
30/07/2015,0,P,
31/07/2015,0,P,
01/08/2015,11.8,P,
02/08/2015,0,P,
03/08/2015,0,P,
04/08/2015,0,P,
05/08/2015,0,P,
06/08/2015,0,P,
07/08/2015,0,P,
08/08/2015,0,P,
09/08/2015,0,P,
10/08/2015,2.4,P,
11/08/2015,0,P,
12/08/2015,0,P,
13/08/2015,0,P,
14/08/2015,0,P,
15/08/2015,12,P,
16/08/2015,6,P,
17/08/2015,0,P,
18/08/2015,0,P,
19/08/2015,7.2,P,
20/08/2015,0,P,
21/08/2015,0,P,
22/08/2015,0,P,
23/08/2015,0,P,
24/08/2015,18.8,P,
25/08/2015,0.6,P,
26/08/2015,0,P,
27/08/2015,0,P,
28/08/2015,0,P,
29/08/2015,0,P,
30/08/2015,0,P,
31/08/2015,0,P,
01/09/2015,0,P,
02/09/2015,0,P,
03/09/2015,0,P,
04/09/2015,0,P,
05/09/2015,0,P,
06/09/2015,0,P,
07/09/2015,0,P,
08/09/2015,0,P,
09/09/2015,0,P,
10/09/2015,0,P,
11/09/2015,0,P,
12/09/2015,0,P,
13/09/2015,3.2,P,
14/09/2015,1.4,P,
15/09/2015,0,P,
16/09/2015,8.4,P,
17/09/2015,0,P,
18/09/2015,0,P,
19/09/2015,0,P,
20/09/2015,0.8,P,
21/09/2015,0,P,
22/09/2015,0,P,
23/09/2015,11.2,P,
24/09/2015,0,P,
25/09/2015,0,P,
26/09/2015,0,P,
27/09/2015,0,P,
28/09/2015,0,P,
29/09/2015,0,P,
30/09/2015,0,P,
01/10/2015,4.4,P,
02/10/2015,4.4,P,
03/10/2015,0.2,P,
04/10/2015,10,P,
05/10/2015,4.4,P,
06/10/2015,1.6,P,
07/10/2015,1.6,P,
08/10/2015,0,P,
09/10/2015,0,P,
10/10/2015,7.6,P,
11/10/2015,0,P,
12/10/2015,1.4,P,
13/10/2015,41.2,P,
14/10/2015,4.6,P,
15/10/2015,7.6,P,
16/10/2015,9,P,
17/10/2015,0,P,
18/10/2015,2,P,
19/10/2015,3.8,P,
20/10/2015,0,P,
21/10/2015,0,P,
22/10/2015,0,P,
23/10/2015,0,P,
24/10/2015,0,P,
25/10/2015,0,P,
26/10/2015,0,P,
27/10/2015,0,P,
28/10/2015,40,P,
29/10/2015,20.6,P,
30/10/2015,0,P,
31/10/2015,0,P,
01/11/2015,0,P,
02/11/2015,0,P,
03/11/2015,0,P,
04/11/2015,0.2,P,
05/11/2015,0,P,
06/11/2015,0,P,
07/11/2015,0,P,
08/11/2015,0,P,
09/11/2015,0,P,
10/11/2015,0,P,
11/11/2015,0,P,
12/11/2015,0,P,
13/11/2015,0.2,P,
14/11/2015,0,P,
15/11/2015,0,P,
16/11/2015,0,P,
17/11/2015,0,P,
18/11/2015,0,P,
19/11/2015,0,P,
20/11/2015,1.4,P,
21/11/2015,25.8,P,
22/11/2015,2.6,P,
23/11/2015,1.6,P,
24/11/2015,0,P,
25/11/2015,0,P,
26/11/2015,0,P,
27/11/2015,0,P,
28/11/2015,0,P,
29/11/2015,0,P,
30/11/2015,0,P,
01/12/2015,0,P,
02/12/2015,0,P,
03/12/2015,0,P,
04/12/2015,0,P,
05/12/2015,0,P,
06/12/2015,0.2,P,
07/12/2015,0.2,P,
08/12/2015,0,P,
09/12/2015,0,P,
10/12/2015,0.2,P,
11/12/2015,0,P,
12/12/2015,0,P,
13/12/2015,1.6,P,
14/12/2015,0,P,
15/12/2015,0.2,P,
16/12/2015,0,P,
17/12/2015,0.4,P,
18/12/2015,0,P,
19/12/2015,0,P,
20/12/2015,0.4,P,
21/12/2015,0.8,P,
22/12/2015,1,P,
23/12/2015,0,P,
24/12/2015,0,P,
25/12/2015,0.2,P,
26/12/2015,0.4,P,
27/12/2015,0.2,P,
28/12/2015,0.4,P,
29/12/2015,0,P,
30/12/2015,0.2,P,
31/12/2015,,@,
01/01/2016,0,P,
02/01/2016,25.6,P,
03/01/2016,3.8,P,
04/01/2016,6,P,
05/01/2016,5.2,P,
06/01/2016,14.8,P,
07/01/2016,3,P,
08/01/2016,2.2,P,
09/01/2016,3.4,P,
10/01/2016,7.2,P,
11/01/2016,4.8,P,
12/01/2016,0,P,
13/01/2016,0,P,
14/01/2016,25.6,P,
15/01/2016,2.2,P,
16/01/2016,0.6,P,
17/01/2016,0,P,
18/01/2016,0,P,
19/01/2016,0,P,
20/01/2016,0,P,
21/01/2016,0,P,
22/01/2016,0,P,
23/01/2016,0,P,
24/01/2016,0,P,
25/01/2016,0,P,
26/01/2016,0,P,
27/01/2016,1.2,P,
28/01/2016,1.8,P,
29/01/2016,0,P,
30/01/2016,0.8,P,
31/01/2016,5.2,P,
01/02/2016,0,P,
02/02/2016,0.8,P,
03/02/2016,7.4,P,
04/02/2016,1,P,
05/02/2016,0,P,
06/02/2016,0,P,
07/02/2016,3.2,P,
08/02/2016,1.2,P,
09/02/2016,28.8,P,
10/02/2016,6.8,P,
11/02/2016,0.2,P,
12/02/2016,24.2,P,
13/02/2016,5,P,
14/02/2016,20.4,P,
15/02/2016,16.8,P,
16/02/2016,13.8,P,
17/02/2016,11,P,
18/02/2016,0,P,
19/02/2016,0.2,P,
20/02/2016,0,P,
21/02/2016,0,P,
22/02/2016,0,P,
23/02/2016,7.4,P,
24/02/2016,0,P,
25/02/2016,10.8,P,
26/02/2016,1,P,
27/02/2016,19.4,P,
28/02/2016,10.6,P,
29/02/2016,14.6,P,
01/03/2016,0,P,
02/03/2016,7.4,P,
03/03/2016,14.4,P,
04/03/2016,0,P,
05/03/2016,15.4,P,
06/03/2016,6.8,P,
07/03/2016,0,P,
08/03/2016,8.8,P,
09/03/2016,0,P,
10/03/2016,0,P,
11/03/2016,0,P,
12/03/2016,0,P,
13/03/2016,0,P,
14/03/2016,0,P,
15/03/2016,0,P,
16/03/2016,0,P,
17/03/2016,0,P,
18/03/2016,0,P,
19/03/2016,0,P,
20/03/2016,0.4,P,
21/03/2016,2.4,P,
22/03/2016,0,P,
23/03/2016,0,P,
24/03/2016,0,P,
25/03/2016,0,P,
26/03/2016,0,P,
27/03/2016,0.6,P,
28/03/2016,1.4,P,
29/03/2016,0,P,
30/03/2016,0,P,
31/03/2016,0,P,
01/04/2016,0,P,
02/04/2016,0,P,
03/04/2016,0,P,
04/04/2016,0,P,
05/04/2016,0,P,
06/04/2016,0,P,
07/04/2016,0,P,
08/04/2016,2.2,P,
09/04/2016,2.2,P,
10/04/2016,0.2,P,
11/04/2016,0,P,
12/04/2016,0,P,
13/04/2016,0,P,
14/04/2016,0,P,
15/04/2016,0,P,
16/04/2016,0,P,
17/04/2016,0,P,
18/04/2016,0,P,
19/04/2016,0,P,
20/04/2016,0,P,
21/04/2016,0,P,
22/04/2016,0,P,
23/04/2016,2.4,P,
24/04/2016,9.2,P,
25/04/2016,2,P,
26/04/2016,0.4,P,
27/04/2016,0,P,
28/04/2016,0,P,
29/04/2016,0,P,
30/04/2016,20.2,P,
01/05/2016,2.6,P,
02/05/2016,2,P,
03/05/2016,7,P,
04/05/2016,0.2,P,
05/05/2016,0.6,P,
06/05/2016,0,P,
07/05/2016,0.8,P,
08/05/2016,1.8,P,
09/05/2016,0,P,
10/05/2016,0,P,
11/05/2016,20.2,P,
12/05/2016,11.2,P,
13/05/2016,8,P,
14/05/2016,8.6,P,
15/05/2016,2.2,P,
16/05/2016,2.4,P,
17/05/2016,0,P,
18/05/2016,0,P,
19/05/2016,9.8,P,
20/05/2016,0.2,P,
21/05/2016,0,P,
22/05/2016,0,P,
23/05/2016,13.6,P,
24/05/2016,1.6,P,
25/05/2016,0,P,
26/05/2016,0,P,
27/05/2016,0,P,
28/05/2016,0,P,
29/05/2016,12.6,P,
30/05/2016,0,P,
31/05/2016,0,P,
01/06/2016,0.6,P,
02/06/2016,3.6,P,
03/06/2016,0.2,P,
04/06/2016,0,P,
05/06/2016,0.8,P,
06/06/2016,1,P,
07/06/2016,0,P,
08/06/2016,1.8,P,
09/06/2016,6.2,P,
10/06/2016,1.4,P,
11/06/2016,0.4,P,
12/06/2016,7.6,P,
13/06/2016,0,P,
14/06/2016,0,P,
15/06/2016,0,P,
16/06/2016,0,P,
17/06/2016,7.2,P,
18/06/2016,0,P,
19/06/2016,0.2,P,
20/06/2016,0,P,
21/06/2016,0,P,
22/06/2016,0,P,
23/06/2016,0,P,
24/06/2016,0,P,
25/06/2016,0,P,
26/06/2016,0,P,
27/06/2016,0,P,
28/06/2016,0,P,
29/06/2016,0,P,
30/06/2016,0,P,
01/07/2016,0,P,
02/07/2016,0,P,
03/07/2016,0,P,
04/07/2016,0,P,
05/07/2016,0,P,
06/07/2016,0,P,
07/07/2016,0,P,
08/07/2016,0,P,
09/07/2016,0,P,
10/07/2016,0,P,
11/07/2016,0,P,
12/07/2016,0,P,
13/07/2016,0,P,
14/07/2016,0,P,
15/07/2016,4.8,P,
16/07/2016,0,P,
17/07/2016,0,P,
18/07/2016,0,P,
19/07/2016,0,P,
20/07/2016,0,P,
21/07/2016,0,P,
22/07/2016,0,P,
23/07/2016,0.6,P,
24/07/2016,1,P,
25/07/2016,4.2,P,
26/07/2016,0,P,
27/07/2016,0.2,P,
28/07/2016,0,P,
29/07/2016,0,P,
30/07/2016,0,P,
31/07/2016,0,P,
01/08/2016,0,P,
02/08/2016,0,P,
03/08/2016,0,P,
04/08/2016,0,P,
05/08/2016,10.4,P,
06/08/2016,3.6,P,
07/08/2016,0,P,
08/08/2016,0,P,
09/08/2016,0,P,
10/08/2016,0,P,
11/08/2016,0,P,
12/08/2016,0,P,
13/08/2016,0,P,
14/08/2016,0,P,
15/08/2016,0,P,
16/08/2016,0,P,
17/08/2016,0,P,
18/08/2016,0,P,
19/08/2016,0,P,
20/08/2016,0,P,
21/08/2016,0,P,
22/08/2016,0,P,
23/08/2016,0,P,
24/08/2016,0,P,
25/08/2016,0,P,
26/08/2016,0,P,
27/08/2016,0,P,
28/08/2016,0,P,
29/08/2016,0,P,
30/08/2016,1.2,P,
31/08/2016,0,P,
01/09/2016,0,P,
02/09/2016,0,P,
03/09/2016,0,P,
04/09/2016,0,P,
05/09/2016,0,P,
06/09/2016,1.2,P,
07/09/2016,0,P,
08/09/2016,0,P,
09/09/2016,0,P,
10/09/2016,0,P,
11/09/2016,0,P,
12/09/2016,0,P,
13/09/2016,0,P,
14/09/2016,0,P,
15/09/2016,6,P,
16/09/2016,57.6,P,
17/09/2016,1.2,P,
18/09/2016,26.4,P,
19/09/2016,0,P,
20/09/2016,0,P,
21/09/2016,0,P,
22/09/2016,0,P,
23/09/2016,0,P,
24/09/2016,0,P,
25/09/2016,0,P,
26/09/2016,0,P,
27/09/2016,0,P,
28/09/2016,0,P,
29/09/2016,0,P,
30/09/2016,0,P,
01/10/2016,3,P,
02/10/2016,19,P,
03/10/2016,1.8,P,
04/10/2016,0,P,
05/10/2016,0,P,
06/10/2016,0.2,P,
07/10/2016,0,P,
08/10/2016,12.4,P,
09/10/2016,1.2,P,
10/10/2016,0.8,P,
11/10/2016,0,P,
12/10/2016,0,P,
13/10/2016,8.2,P,
14/10/2016,47,P,
15/10/2016,,@,
16/10/2016,,@,
17/10/2016,,@,
18/10/2016,0,P,
19/10/2016,7.8,P,
20/10/2016,0.2,P,
21/10/2016,0.2,P,
22/10/2016,0,P,
23/10/2016,0.2,P,
24/10/2016,3.6,P,
25/10/2016,0.2,P,
26/10/2016,21,P,
27/10/2016,0.2,P,
28/10/2016,0,P,
29/10/2016,0,P,
30/10/2016,0,P,
31/10/2016,0,P,
01/11/2016,0,P,
02/11/2016,3.6,P,
03/11/2016,0.2,P,
04/11/2016,0,P,
05/11/2016,46.4,P,
06/11/2016,31.2,P,
07/11/2016,0,P,
08/11/2016,0.4,P,
09/11/2016,6.4,P,
10/11/2016,0,P,
11/11/2016,19.8,P,
12/11/2016,3.2,P,
13/11/2016,0,P,
14/11/2016,0,P,
15/11/2016,0,P,
16/11/2016,0,P,
17/11/2016,1,P,
18/11/2016,9.6,P,
19/11/2016,23.2,P,
20/11/2016,9.2,P,
21/11/2016,1.2,P,
22/11/2016,0,P,
23/11/2016,0,P,
24/11/2016,1.8,P,
25/11/2016,2.4,P,
26/11/2016,0,P,
27/11/2016,0,P,
28/11/2016,0.2,P,
29/11/2016,0,P,
30/11/2016,0,P,
01/12/2016,0,P,
02/12/2016,0,P,
03/12/2016,0,P,
04/12/2016,0,P,
05/12/2016,0,P,
06/12/2016,0,P,
07/12/2016,0,P,
08/12/2016,0,P,
09/12/2016,0,P,
10/12/2016,0,P,
11/12/2016,0,P,
12/12/2016,0,P,
13/12/2016,0,P,
14/12/2016,0,P,
15/12/2016,0,P,
16/12/2016,0,P,
17/12/2016,0,P,
18/12/2016,0,P,
19/12/2016,0.2,P,
20/12/2016,2.4,P,
21/12/2016,0,P,
22/12/2016,0,P,
23/12/2016,0,P,
24/12/2016,0,P,
25/12/2016,0,P,
26/12/2016,0,P,
27/12/2016,0,P,
28/12/2016,0.2,P,
29/12/2016,0,P,
30/12/2016,0,P,
31/12/2016,0,P,
01/01/2017,0,P,
02/01/2017,9.2,P,
03/01/2017,13,P,
04/01/2017,0,P,
05/01/2017,0,P,
06/01/2017,0,P,
07/01/2017,0,P,
08/01/2017,0,P,
09/01/2017,0,P,
10/01/2017,0,P,
11/01/2017,0,P,
12/01/2017,0.2,P,
13/01/2017,3.6,P,
14/01/2017,0,P,
15/01/2017,0.2,P,
16/01/2017,0,P,
17/01/2017,0.4,P,
18/01/2017,0,P,
19/01/2017,0,P,
20/01/2017,0,P,
21/01/2017,0,P,
22/01/2017,0,P,
23/01/2017,0,P,
24/01/2017,0,P,
25/01/2017,0,P,
26/01/2017,0,P,
27/01/2017,0,P,
28/01/2017,0,P,
29/01/2017,0,P,
30/01/2017,0.6,P,
31/01/2017,0.8,P,
01/02/2017,0,P,
02/02/2017,1.6,P,
03/02/2017,2.6,P,
04/02/2017,17,P,
05/02/2017,37.2,P,
06/02/2017,5,P,
07/02/2017,0,P,
08/02/2017,0,P,
09/02/2017,0,P,
10/02/2017,0,P,
11/02/2017,0,P,
12/02/2017,0,P,
13/02/2017,0,P,
14/02/2017,0,P,
15/02/2017,0,P,
16/02/2017,0,P,
17/02/2017,0,P,
18/02/2017,0,P,
19/02/2017,0,P,
20/02/2017,0,P,
21/02/2017,0,P,
22/02/2017,0,P,
23/02/2017,0,P,
24/02/2017,21.6,P,
25/02/2017,2.6,P,
26/02/2017,0,P,
27/02/2017,0,P,
28/02/2017,14.2,P,
01/03/2017,0.6,P,
02/03/2017,1.8,P,
03/03/2017,0,P,
04/03/2017,10,P,
05/03/2017,11.8,P,
06/03/2017,22.8,P,
07/03/2017,0,P,
08/03/2017,0,P,
09/03/2017,0,P,
10/03/2017,0,P,
11/03/2017,0,P,
12/03/2017,0,P,
13/03/2017,0,P,
14/03/2017,0,P,
15/03/2017,0,P,
16/03/2017,0,P,
17/03/2017,0,P,
18/03/2017,0,P,
19/03/2017,0,P,
20/03/2017,0,P,
21/03/2017,0,P,
22/03/2017,1.2,P,
23/03/2017,1.2,P,
24/03/2017,0,P,
25/03/2017,1.6,P,
26/03/2017,2.6,P,
27/03/2017,0,P,
28/03/2017,0,P,
29/03/2017,0,P,
30/03/2017,0,P,
31/03/2017,0,P,
01/04/2017,0,P,
02/04/2017,0,P,
03/04/2017,0,P,
04/04/2017,1.8,P,
05/04/2017,0,P,
06/04/2017,0.6,P,
07/04/2017,0,P,
08/04/2017,0,P,
09/04/2017,,@,
10/04/2017,0,P,
11/04/2017,0,P,
12/04/2017,0,P,
13/04/2017,0,P,
14/04/2017,0,P,
15/04/2017,10.8,P,
16/04/2017,5.8,P,
17/04/2017,0,P,
18/04/2017,2.2,P,
19/04/2017,0,P,
20/04/2017,0,P,
21/04/2017,0,P,
22/04/2017,0,P,
23/04/2017,0,P,
24/04/2017,,@,
25/04/2017,0,P,
26/04/2017,0.4,P,
27/04/2017,15.8,P,
28/04/2017,4.2,P,
29/04/2017,0,P,
30/04/2017,0,P,
01/05/2017,4.6,P,
02/05/2017,0,P,
03/05/2017,1.6,P,
04/05/2017,3.8,P,
05/05/2017,0,P,
06/05/2017,16.4,P,
07/05/2017,1.4,P,
08/05/2017,8,P,
09/05/2017,7.2,P,
10/05/2017,0,P,
11/05/2017,0,P,
12/05/2017,0,P,
13/05/2017,0,P,
14/05/2017,0,P,
15/05/2017,0,P,
16/05/2017,0,P,
17/05/2017,0,P,
18/05/2017,0,P,
19/05/2017,0,P,
20/05/2017,1.2,P,
21/05/2017,0,P,
22/05/2017,0,P,
23/05/2017,0,P,
24/05/2017,0,P,
25/05/2017,0,P,
26/05/2017,0,P,
27/05/2017,0,P,
28/05/2017,0,P,
29/05/2017,0,P,
30/05/2017,0,P,
31/05/2017,0,P,
01/06/2017,0,P,
02/06/2017,0,P,
03/06/2017,0,P,
04/06/2017,0,P,
05/06/2017,0,P,
06/06/2017,0,P,
07/06/2017,0,P,
08/06/2017,0,P,
09/06/2017,0,P,
10/06/2017,0,P,
11/06/2017,0,P,
12/06/2017,0,P,
13/06/2017,0,P,
14/06/2017,1,P,
15/06/2017,0.4,P,
16/06/2017,0,P,
17/06/2017,0,P,
18/06/2017,0,P,
19/06/2017,0,P,
20/06/2017,0,P,
21/06/2017,0,P,
22/06/2017,0,P,
23/06/2017,0,P,
24/06/2017,0,P,
25/06/2017,0,P,
26/06/2017,0,P,
27/06/2017,0.6,P,
